B,EP.1/EP.2/Erythroid,Endothelial,Fibroblast,GMP/GrP,HSC,MEMP,MPP.1,MPP.2,MPP.3,MPP.4,MPP.5,MPP/GMP,Macrophage,Mast,MkP,Pre Pro-B/Pro-B,Prolif-MPP.1,Prolif-MPP.2,Prolif-unspecified
LOC102127202,PKLR,COL4A1,PLAC9,AZU1,TENM4,CA1,MAFA-F,GRID2,VIM,LOC107127987,UNG,PTMS,C1QA,LOC102142464,GATA1,LOC102141130,H1-1,PIMREG,LOC123571590
IL36A,SPTA1,NPR1,SOD3,PRTN3,HLF,GATA1,LOC101866788,CD74,TPPP3,SERPINA5,MCM5,HMGB1,C1QC,LOC102128143,TESC,DNTT,LOC102117390,PLK1,NCL
LOC102128706,ALAS2,FCN3,RSPO1,MS4A3,MLLT3,RBPMS2,FOS,ITM2C,CRIP2,ZBTB16,MCM3,HNRNPA1,CRYBA2,HDC,ITGB3,ARPP21,LOC102117187,CENPA,H1-4
LOC123574720,LOC102143165,BTNL9,CCN5,MNDA,MECOM,EHD3,LOC102141626,LOC102116308,CRIP1,HTR1F,IGFBP2,OAZ1,C1QB,PRG3,PDLIM1,IL7R,SPC25,KIF20A,HSPA8
LOC102121507,TLCD4,DNASE1L3,MRAP2,CTSG,GLIPR1,PBK,LOC102116527,LOC102136964,AHNAK,GRID2,LOC123569448,ACTG1,TIMD4,NTRK1,THBS1,VPREB3,LOC102137997,GTSE1,LOC102141014
TNFRSF13B,ALOX15,NID1,ESM1,LOC102123184,CD48,CDCA3,LOC102117143,LAT2,LMNA,GATA2,MCM2,TMSB10,LOC102121984,FCRL2,PKIG,PAX5,H1-5,PIF1,HSP90AB1
LOC102143761,LOC102118318,LIFR,DIPK1C,GPR84,RORA,CDK1,CD74,CDK6,PACRG,RGS6,GINS2,HMGN2,FCGR3A,CMA1,PLXDC2,IGFBP7,MXD3,ASPM,HNRNPA2B1
SLAMF7,LOC123568739,COL4A2,AOX1,ELANE,LOC102136822,THBS1,B2M,SELL,TSPAN2,TNFRSF14,SLC29A1,IGLL1,VCAM1,LOC102142071,VWF,RAG2,H1-3,DLGAP5,HSPD1
LOC102146825,KCNH2,CLDN5,SFRP2,CFD,NRIP1,VWF,ANXA1,GYPC,S100A10,TNFSF10,KLF16,CFL1,HMOX1,TNFSF14,EHD3,EBF1,CDCA3,CDKN3,CLC
LOC123572431,LOC101926697,CLEC14A,DCN,CEBPE,IFITM1,CCNA2,DUSP1,PRAM1,ANXA1,PNISR,MCM4,LOC102145661,FABP4,LOC107127274,MED12L,BLNK,PKMYT1,HMMR,H1-5
LOC102116643,GBGT1,OIT3,FST,SERPINB10,LRFN5,UBE2C,JAKMIP1,CD37,S100A11,ADARB2,MCM7,LOC102117823,SLAMF9,OXER1,TFR2,LOC102139688,LOC102121500,LOC102145093,ACTB
CD28,LOC102136192,APLNR,C7,NKG7,PNRC1,LOC102125111,LOC102138874,HTR1F,DPYSL3,PDE3A,DCTPP1,STMN1,SPIC,LOC102139204,RBPMS2,LOC123569150,DIAPH3,CDC25B,LOC102140626
PRKCG,SLC4A1,NR2F2,MLPH,CST7,HMGA2,ITGB3,LOC102126012,NACA,KLF2,PTPRE,UHRF1,MPO,LOC102147063,SFRP4,CALD1,POU2AF1,NDC80,CEP55,TUBB
IRF4,SLC38A8,MMRN2,ITIH3,BPI,LRBA,LOC102117390,LOC102140002,YPEL3,S100A6,LOC102127471,TPI1,HNRNPA2B1,MAFB,PRG2,RIPOR3,AKAP12,TOP2A,DEPDC1,NPM1
BHLHA15,LOC102136846,NRP2,SULF1,LOC102115241,HOPX,NDC80,AR,CD59,CNIH2,PBX1,LKAAEAR1,CCNB2,CCL24,EPX,RAP1B,LOC123571922,UBE2C,CCNB1,TUBA1B
LOC101866604,HBM,STAB2,OLFML1,CEBPD,SUSD4,FOXM1,PLAAT4,CD48,SH3BGRL3,EDIL3,MCM6,LOC102115969,MARCO,LOC102141414,PBX1,JCHAIN,RRM2,SGO2,H1-3
LOC102145413,EPB42,ADGRL4,S1PR3,CSTA,TEK,XK,RPL18,CORO1A,DLGAP2,LOC123569745,HELLS,LOC102117012,FABP3,SLC24A2,RAB6B,LEF1,RAD51,CKAP2,HSP90AA1
LOC123567984,TGM2,ADGRF5,PDGFRA,RAB44,CD164,SPC25,CLIC2,RPL18,CD44,SH3BGRL,CPNE7,ANP32B,RESP18,FFAR3,FADS2,LOC123567890,LOC102144964,CDC20,HMGB1
LOC123572865,KLF1,TM4SF18,PAPPA,FCN1,INPP5D,TFR2,LOC102144039,ZFP36L2,PI16,ELMO1,PCNA,NCAPD2,SDC3,LTB4R,ZBTB16,LOC102133263,NUSAP1,KIF18B,LOC102141414
TNFRSF17,DENND2A,LOC102131557,IL33,ODF3B,ADGRB3,PRC1,KEG98_p13,SH3BP5,MBOAT7,CD37,RPA3,HSP90B1,CD5L,CCR2,LOC102125111,LOC102122418,PCLAF,PRC1,LOC123571591
LOC102141543,MYL4,GPR182,VEGFC,LOC102122749,RAPGEF2,ITGA2B,RPL30,RCSD1,S100A4,ZNF521,DPEP1,ARHGDIB,GPNMB,ALOX15,TIMP3,CHST15,FOXM1,KNSTRN,YBX1
