B,EP.1,EP.2,Endothelial,EoP,Erythroid,Fibroblast,GMP,GrP,HSC/CLP,HSC/MPP,MEMP,Macrophage,Mast,MkP,MoP.1,MoP.2,NK,Neut,Pre Pro-B,Pro-B,Prolif-GrP,Prolif-MPP.1,Prolif-MPP.2,Prolif-unspecified,pDC
TNFRSF13B,KLF1,PKLR,CLDN5,EPX,SLC4A1,SOD3,RHEX,CTSG,SYNDIG1,HOPX,CDK1,C1QA,LOC102142464,ITGB3,ARHGAP24,LOC102122749,GZMK,CHIT1,IL7R,VPREB3,ELANE,MXD3,PIMREG,NCL,LY6D
LOC102145413,TFR2,TLCD4,COL4A1,PRG2,PHOSPHO1,PLAC9,CSF3R,AZU1,CCR9,IFITM1,SPC25,C1QC,PRG3,PLXDC2,ZEB2,SERPINB10,GZMA,S100A12,EBF1,POU2AF1,CTSG,TOP2A,CDC25B,HSP90AB1,SEL1L3
LOC123574720,KCNH2,MYL4,STAB2,IL5RA,LOC102135406,ESM1,CEBPA,PRTN3,ZNF503,HLF,LOC102117390,C1QB,CMA1,PBX1,LYST,LOC102125256,KLRD1,DES,LOC102141130,LOC123567890,LOC123571590,NDC80,CENPA,HSPD1,LOC102126863
LOC102121507,RGS16,LOC102143165,NRP2,CEBPE,TSPO2,DIPK1C,CD34,CST7,LOC102133263,SUSD4,CDCA3,CRYBA2,MS4A2,MMRN1,LRMDA,MNDA,S1PR5,ORM1,RAG2,AKAP12,AZU1,LOC102117390,PLK1,HNRNPA2B1,SFMBT2
MS4A1,ANK1,SLC25A21,DNASE1L3,PRG3,EPB42,OLFML1,LOC102123570,CFD,LOC102116308,HTR1F,CCNA2,LOC102121984,HDC,MED12L,VCAN,FCGR1A,LOC102137723,LOC102128727,PTGDR,PAX5,LYZ,DIAPH3,ASPM,HSPA8,LOC102122418
FCRLA,LOC123567927,KCNH2,CLEC14A,IFI30,DMTN,SFRP2,CALR,LOC102128791,FCMR,SPINK2,UBE2C,TIMD4,LOC102142071,LOC102125111,MBNL1,SERPINB2,LOC102121106,PGLYRP1,BLNK,ARPP21,PRTN3,LOC102117187,CDC20,NPM1,IRF8
LOC102127202,PRDX2,LOC123568739,ADGRL4,LOC102123184,LOC123570540,PDGFRL,MPO,MPO,LCK,LOC102146935,NDC80,SPIC,LOC102141414,PDLIM1,FNDC3B,RETN,LOC102120479,CYP4F3,LOC102116308,DNTT,SRGN,SPC25,DLGAP5,LOC123571590,NCKAP5
LOC102128706,BLVRB,KLF1,APLNR,FBP1,IFIT1B,LUM,IGLL1,ELANE,IGF1,GRID2,FBXO5,VCAM1,PRG2,RAP1B,PLCB1,FCN1,LOC123570293,LOC102130606,TP53I11,SH2D4B,MPO,NUSAP1,CCNB2,HSP90AA1,TNNI2
FCRL1,EPOR,SPTA1,NR2F2,A2ML1,BPIFB1,SMOC2,ATP8B4,LOC102123184,SMIM2,RAMP1,FOXM1,HMOX1,LOC102141014,VWF,PDE4D,SAMHD1,EOMES,MMP8,DNTT,LEF1,FOS,H1-5,CDKN3,H1-4,BLNK
TCL1A,HDAC7,ANK1,ADGRF5,ZNF567,HBM,CCN5,CD44,NKG7,SH3BP5,PDLIM2,LOC102132314,RESP18,LOC102140229,THBS1,PPM1E,LYZ,IL2RB,CD300H,LOC102133263,LOC123571922,LOC123571591,UBE2C,CCNB1,LOC102138560,PPM1J
LOC123567984,TLCD4,RHAG,TM4SF18,ALOX15,LOC123568411,RSPO1,BCL2,SCIN,LTB,TENM4,TUBA1B,CD5L,EPX,TRPC6,MNDA,CITED4,LOC102122467,MMP9,PAG1,KREMEN1,H1-4,CDCA3,HMMR,ACTB,LIX1
IL36A,GATA1,EPOR,FLRT2,LOC123571591,FHDC1,VGLL3,RAB7B,MS4A3,SEMA3C,DPEP1,H1-5,MAFB,LOC102140626,WNK2,NAV3,MYOF,SH2D1A,C5AR1,SH3BP5,RAG2,LOC102141014,CDCA2,KIF20A,TUBB,LOC107129205
SOX5,SLC38A8,DNAJA4,MMRN2,MS4A3,CATSPER1,SLC22A3,SLC2A5,UBA52,BTLA,THY1,NCAPG,FCGR3A,LOC102125936,PTGER3,ZNF804A,IRF8,GZMB,IDO1,IGFBP7,LOC102143918,LGALS1,FOXM1,GTSE1,HMGB1,KYNU
BHLHE41,GPX4,RGS16,RAMP2,RPLP1,LOC102117110,BMP5,SPI1,SERPINB1,LOC102117861,BST2,PDLIM1,SDC3,ALOX5,LIMS1,FOXP1,LOC102139204,LOC123570291,CXCL8,SELL,RASAL1,DNTT,H1-3,PTTG1,TUBA1B,ENHO
SLAMF7,STON2,PRDX2,SERPINH1,PRSS57,LOC102133500,S1PR3,LOC102124022,SERF2,PPP1R16B,EGFL7,PCLAF,FABP4,CPA3,GP9,DIAPH2,VCAN,CD28,CD300LD,CHST15,EBF1,VIM,CDK1,NDE1,H1-5,GAS6
CLEC17A,MYH10,TFR2,EPAS1,LOC123571590,LOC102136192,ADIRF,TEKT2,RPLP1,GRID2,MLLT3,APOBEC3B,SLAMF9,LMO4,PKIG,LOC123569828,LGALS1,BCL11B,HK3,ID3,COL6A3,PABPC1,PKMYT1,CCNA2,HNRNPA1,NGFR
TNFRSF17,UROD,LMNA,FLT1,LOC123574493,C16H17orf99,CYP1B1,LPCAT2,TEKT2,HOPX,MECOM,RRM2,FABP3,GATA2,PECAM1,MED13L,TNFSF13B,KLRB1,MAFB,MMP11,LOC102141130,LOC102140626,BUB1B,TPX2,H1-3,LOC102116898
IKZF3,SLC40A1,DENND2A,FCN3,GCGR,AQP1,KLK7,ZBTB16,HCST,ASIC2,GNG11,MYBL2,CXCL16,MS4A3,LOC102118998,DPYD,S100A8,KIR2DS4,OLFM4,ALPL,BEST3,B2M,KIFC1,CEP55,HMGA1,RUBCNL
LOC102146825,TAL1,ALAD,OIT3,FAM181B,LOC123573483,SFRP1,HCST,RPL12,ENO2,CYP26A1,KIF2C,GPNMB,SYTL3,TESC,AZU1,CYP11A1,ADAM23,LTF,RFLNB,CCN2,MNDA,AURKB,SPAG5,YBX1,KITLG
RAB30,CSF1,MFAP2,LIFR,BTG1,TOX2,MRAP2,LY6E,RPL8,CD74,RBPMS,MKI67,CCL24,SLC2A6,ADCY5,ARHGAP15,CEBPD,IFNG,CLEC7A,LOC102122672,CHST15,LOC102116444,ANLN,CDCA8,HNRNPU,IL7R
