"","id","status","p_value","morans_test_statistic","morans_I","gene_ids","feature_types","n_cells","mt","ribo","hb","n_cells_by_counts","mean_counts","pct_dropout_by_counts","total_counts","highly_variable","means","dispersions","dispersions_norm","gene_short_name","q_value","module","supermodule","dim_1","dim_2"
"1","AAK1","OK",2.05950148547567e-285,36.0834795249719,0.0447571316014268,"AAK1","Gene Expression",109815,FALSE,FALSE,FALSE,109815,0.700612604618073,59.5451849505067,190182,TRUE,0.442610375681915,1.25041633575876,1.7736736536026,"AAK1",3.10339920154106e-285,"7","1",0.488926778699764,-1.85956130158092
"2","ABCA1","OK",5.56922887743417e-51,14.972309769456,0.0185570058171641,"ABCA1","Gene Expression",19589,FALSE,FALSE,FALSE,19589,0.0902372822165489,92.7835963028318,24495,TRUE,0.0753436224614146,1.15158886330967,0.975278258323669,"ABCA1",6.58698807069966e-51,"2","1",0.904627691175349,0.216540657170763
"3","ABCA13","OK",0.0012981201080461,3.01189308425217,0.00371501822331493,"ABCA13","Gene Expression",8277,FALSE,FALSE,FALSE,8277,0.0377600379288197,96.9508309050252,10250,TRUE,0.0312378943349594,1.28583883776634,1.17416429519653,"ABCA13",0.00136286262225092,"11","1",0.0827821597117264,1.07903679478978
"4","ABCB1","OK",0,169.936005921666,0.210849495838166,"ABCB1","Gene Expression",26495,FALSE,FALSE,FALSE,26495,0.160684615373611,90.2394907368181,43618,TRUE,0.0658999969923143,1.03942476676671,0.809111595153809,"ABCB1",0,"1","1",1.80401934232891,3.18904890883779
"5","ABCC4","OK",0,200.482862773708,0.248765624385281,"ABCC4","Gene Expression",112739,FALSE,FALSE,FALSE,112739,0.915439605712891,58.4680108012127,248497,TRUE,0.436430894481976,0.86655245458812,0.735437870025635,"ABCC4",0,"9","1",-0.746531595323674,-3.26493129860545
"6","ABCG1","OK",0,76.3930343836256,0.0947739909595343,"ABCG1","Gene Expression",30687,FALSE,FALSE,FALSE,30687,0.144368603825569,88.6951972915922,39189,TRUE,0.0849125543053423,0.926607830270251,0.641977727413177,"ABCG1",0,"5","1",0.94572533216656,2.29779770243978
"7","ABLIM1","OK",0,155.712902064166,0.193208077752347,"ABLIM1","Gene Expression",63400,FALSE,FALSE,FALSE,63400,0.387281686067581,76.6440352034069,105128,TRUE,0.203805144545912,1.12131137126528,0.930423319339752,"ABLIM1",0,"1","1",1.31822193708599,2.83050050605153
"8","ABR","OK",3.12302608361861e-203,30.3957776593113,0.03769865511077,"ABR","Gene Expression",70320,FALSE,FALSE,FALSE,70320,0.36535507440567,74.0947721688261,99176,TRUE,0.234776388112808,0.879242314624623,0.571807563304901,"ABR",4.35634963739036e-203,"2","1",0.319052110578426,0.30119513738965
"9","ACER3","OK",0,84.4066408307855,0.104722983960067,"ACER3","Gene Expression",115102,FALSE,FALSE,FALSE,115102,0.77646791934967,57.5975037852135,210773,TRUE,0.386093092990924,0.787005283565176,0.520286798477173,"ACER3",0,"3","1",1.28529871549786,-3.10710988175059
"10","ACOXL","OK",8.24605050880057e-101,21.2824970705243,0.0263791318070204,"ACOXL","Gene Expression",13246,FALSE,FALSE,FALSE,13246,0.0675517842173576,95.1202979543269,18337,TRUE,0.0586313492189436,1.14963361126588,0.97238165140152,"ACOXL",1.03647582993609e-100,"10","1",-1.86309968385517,-0.978856779448042
"11","ACP3","OK",6.99840376295628e-97,20.8540786180643,0.0258020876092697,"ACP3","Gene Expression",4716,FALSE,FALSE,FALSE,4716,0.019465759396553,98.2626698741209,5284,TRUE,0.0228236847434313,1.00062520588555,0.751631557941437,"ACP3",8.74905425434966e-97,"10","1",-2.60471545610248,0.00355526078557011
"12","ACP5","OK",0,108.376532264526,0.13446072629139,"ACP5","Gene Expression",28596,FALSE,FALSE,FALSE,28596,0.135015159845352,89.4655020611455,36650,TRUE,0.0775108412801754,1.06509454672974,0.847140312194824,"ACP5",0,"1","1",0.427307973768123,3.934492252954
"13","ACSBG1","OK",0,43.2424477087691,0.0536213184952126,"ACSBG1","Gene Expression",5985,FALSE,FALSE,FALSE,5985,0.0256399866193533,97.7951821875771,6960,TRUE,0.0182119938757159,0.833634413864735,0.504241287708282,"ACSBG1",0,"4","1",-2.08658467683613,-2.44408068787242
"14","ACSL4","OK",0,103.598127134293,0.128538796440189,"ACSL4","Gene Expression",134534,FALSE,FALSE,FALSE,134534,1.04292488098145,50.4389374141189,283103,TRUE,0.484936295545197,0.947113098178033,0.953330039978027,"ACSL4",0,"7","1",-1.17448579225361,-2.31441316734935
"15","ACSL6","OK",1.76135472335861e-281,35.8318789357729,0.0444356928286216,"ACSL6","Gene Expression",13880,FALSE,FALSE,FALSE,13880,0.0618490986526012,94.886738306361,16789,TRUE,0.0574154167773617,1.24173017109212,1.10881900787354,"ACSL6",2.64076492336644e-281,"11","1",-0.330738176439397,1.66699066031789
"16","ACY3","OK",6.88024372044611e-44,13.8443578881095,0.0171306865206984,"ACY3","Gene Expression",6231,FALSE,FALSE,FALSE,6231,0.0359291359782219,97.7045580970415,9753,TRUE,0.0426158246004299,1.2442894030494,1.1126104593277,"ACY3",8.05077367400881e-44,"10","1",-2.2191167965871,0.696634136327257
"17","ADAM17","OK",4.02671649046994e-106,21.8483829654801,0.0270923546963031,"ADAM17","Gene Expression",97691,FALSE,FALSE,FALSE,97691,0.544569730758667,64.0115527295902,147824,TRUE,0.307630917089613,0.874590384077879,0.757178068161011,"ADAM17",5.0982242807651e-106,"2","1",1.29939783659161,-1.34620580803538
"18","ADAM19","OK",2.34654843555581e-82,19.1876589672439,0.0237854437858996,"ADAM19","Gene Expression",12134,FALSE,FALSE,FALSE,12134,0.0541939437389374,95.5299483147971,14711,TRUE,0.0319858158670812,0.971998805250647,0.709222674369812,"ADAM19",2.88678095613831e-82,"5","1",1.83768118467511,2.73062887061452
"19","ADAM22","OK",0,130.071702105412,0.161382904486239,"ADAM22","Gene Expression",59452,FALSE,FALSE,FALSE,59452,0.456778585910797,78.0984413393209,123993,TRUE,0.205825226094977,0.853173064945149,0.533187031745911,"ADAM22",0,"9","1",-0.401797880266301,-3.43979272972728
