"","Cluster","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","HSC","BP","GO:0007155","cell adhesion","58/548","496/8716",2.42108013899896e-06,0.00740850522533683,0.00679431542165394,"699242/704745/574172/701472/693315/704919/713840/701488/696354/703879/703088/714533/677696/712503/699616/709353/711407/718698/710001/698185/704212/694583/697017/574276/712601/697481/709580/695983/706295/699330/707140/697438/698576/713807/717399/702775/715119/703572/700802/698092/706275/698888/712280/705413/696659/732518/710161/717458/705160/707185/711180/712969/717645/574365/715989/700409/709322/718038",58
"2","HSC","BP","GO:0021700","developmental maturation","22/548","124/8716",7.93981380564671e-06,0.0121479151226395,0.0111408124241338,"714608/694472/706100/708902/704524/100425019/694156/694022/713840/701488/706153/677865/574346/707140/703613/706275/710161/701670/702235/707185/697077/718426",22
"3","HSC","BP","GO:0007167","enzyme-linked receptor protein signaling pathway","46/548","384/8716",1.51885590858844e-05,0.015492330267602,0.0142079643940238,"707455/716794/713238/705289/698268/706100/704896/700030/694572/694022/713840/701488/703879/703088/698323/716452/699329/711407/707075/711353/697099/694583/697017/698689/574379/716786/574133/697481/716133/706295/707140/697438/717399/704562/707870/699957/100430739/698338/705413/703734/698726/715949/711180/703923/574345/100429026",46
"4","HSC","BP","GO:0018108","peptidyl-tyrosine phosphorylation","19/548","105/8716",2.46020635176809e-05,0.016517915390994,0.0151485250885414,"700677/703879/714533/694915/699616/711407/711353/694583/697017/574133/706295/707140/707749/717399/705445/715949/613032/711180/574345",19
"5","HSC","BP","GO:0098609","cell-cell adhesion","38/548","302/8716",2.88143795230594e-05,0.016517915390994,0.0151485250885414,"699242/704745/701472/704919/713840/701488/696354/703879/703088/677696/699616/718698/710001/698185/704212/712601/709580/695983/699330/707140/697438/698576/715119/703572/700802/698092/706275/698888/712280/696659/732518/705160/707185/711180/717645/574365/700409/718038",38
"6","HSC","BP","GO:0018212","peptidyl-tyrosine modification","19/548","107/8716",3.23880693941058e-05,0.016517915390994,0.0151485250885414,"700677/703879/714533/694915/699616/711407/711353/694583/697017/574133/706295/707140/707749/717399/705445/715949/613032/711180/574345",19
"7","HSC","BP","GO:0071695","anatomical structure maturation","17/548","93/8716",5.71957484102982e-05,0.0250027128765018,0.0229299045506549,"714608/708902/704524/100425019/694156/713840/701488/706153/574346/707140/703613/706275/710161/701670/702235/697077/718426",17
"8","HSC","BP","GO:0050919","negative chemotaxis","6/548","14/8716",0.000116807178834054,0.0446787459040257,0.0409747287857353,"708633/705591/697481/710297/713885/717645",6
"9","HSC","BP","GO:0043068","positive regulation of programmed cell death","26/548","191/8716",0.000148639746069806,0.0464191720893549,0.0425708678328931,"704745/698274/700030/100425019/706198/100428720/696908/716452/712571/710832/695652/705591/707749/574356/700485/715518/699957/705413/716568/711257/696991/702235/707479/706421/703526/693551",26
"10","HSC","BP","GO:0010632","regulation of epithelial cell migration","16/548","91/8716",0.000151696640814885,0.0464191720893549,0.0425708678328931,"694992/713840/703088/714533/708835/716452/717866/697017/707749/717399/702775/100430739/705413/703734/700409/574345",16
"11","HSC","MF","GO:0004879","nuclear receptor activity","10/551","34/8759",2.95955249875443e-05,0.00768003873426775,0.00699388985231968,"704014/100429549/714254/706198/701624/700485/613250/613025/696797/697077",10
"12","HSC","MF","GO:0098531","ligand-activated transcription factor activity","10/551","34/8759",2.95955249875443e-05,0.00768003873426775,0.00699388985231968,"704014/100429549/714254/706198/701624/700485/613250/613025/696797/697077",10
"13","MPP.1","BP","GO:0009615","response to virus","17/219","170/8716",1.15525003940403e-06,0.0016735347426969,0.00145818623337886,"715615/699881/719092/708404/707749/703281/780935/695796/699578/702743/693567/711844/712265/694286/704130/697969/695683",17
"14","MPP.1","BP","GO:0007249","canonical NF-kappaB signal transduction","14/219","118/8716",1.36615081036481e-06,0.0016735347426969,0.00145818623337886,"710820/715615/707749/697017/699598/703281/574252/574296/695796/698160/613025/707336/715283/704130",14
