"","Cluster","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","Early2nd_FL","BP","GO:0034330","cell junction organization","40/583","261/8716",5.67571408904212e-07,0.0017651470816921,0.00169853212159439,"710753/574172/713687/712601/100430727/613269/709901/700811/715265/693297/712262/711465/717579/702353/714317/698293/719305/700368/702939/718307/700409/696536/708589/699042/714274/699854/714203/694694/693541/710072/719673/699338/701160/574230/703995/714647/700473/693440/711526/715463",40
"2","Early2nd_FL","BP","GO:0006270","DNA replication initiation","9/583","19/8716",1.26946359654781e-06,0.00197401589263184,0.00189951842367653,"710888/708320/714686/710766/707651/717548/713271/700589/710253",9
"3","Early2nd_FL","BP","GO:0032508","DNA duplex unwinding","7/583","15/8716",2.31688076824492e-05,0.0182075790984588,0.0175204425036109,"710888/708320/714686/710766/693426/707651/717548",7
"4","Early2nd_FL","BP","GO:0032392","DNA geometric change","8/583","20/8716",2.34181081652203e-05,0.0182075790984588,0.0175204425036109,"710888/703598/708320/714686/710766/693426/707651/717548",8
"5","Early2nd_FL","BP","GO:0006261","DNA-templated DNA replication","13/583","55/8716",4.99544370756504e-05,0.0303297596707016,0.0291851435924199,"710888/708320/714686/710562/710766/693426/707651/717548/718006/713271/700589/710253/708579",13
"6","Early2nd_FL","BP","GO:0006260","DNA replication","20/583","114/8716",5.85140057955657e-05,0.0303297596707016,0.0291851435924199,"710888/708320/714686/710562/708066/710766/693426/707651/717548/718006/713271/700589/721861/710253/708416/716612/722348/708579/707142/100423080",20
"7","Early2nd_FL","BP","GO:0007043","cell-cell junction assembly","14/583","65/8716",7.75782977844089e-05,0.034466929444216,0.033166180541515,"574172/713687/100430727/700811/693297/712262/702353/699854/714203/714647/700473/693440/711526/715463",14
"8","Early2nd_FL","BP","GO:0045216","cell-cell junction organization","16/583","83/8716",0.000100690402241717,0.0391433938714676,0.0376661596806845,"574172/713687/100430727/700811/693297/712262/711465/702353/699854/714203/710072/714647/700473/693440/711526/715463",16
"9","Early2nd_FL","BP","GO:0009142","nucleoside triphosphate biosynthetic process","10/583","38/8716",0.000141686441455431,0.0463599587770548,0.0446103783392002,"702893/574260/699950/698144/106997570/100533956/697950/698458/695498/706338",10
"10","Early2nd_FL","BP","GO:0071103","DNA conformation change","8/583","25/8716",0.000149067391566093,0.0463599587770548,0.0446103783392002,"710888/703598/708320/714686/710766/693426/707651/717548",8
"11","Early2nd_FL","CC","GO:0031261","DNA replication preinitiation complex","8/631","11/9500",5.00722988516012e-08,6.3029659471516e-06,5.77080763801709e-06,"710888/708320/714686/710766/693426/707651/717548/707142",8
"12","Early2nd_FL","CC","GO:0005743","mitochondrial inner membrane","36/631","204/9500",5.20910858926335e-08,6.3029659471516e-06,5.77080763801709e-06,"693502/702893/641333/574260/698024/693780/697843/699950/698144/106997570/710845/711369/694635/693431/697950/711249/711014/100428450/698458/721259/714895/100426173/722400/719935/713297/713040/708065/709772/696532/693782/702885/695399/707060/699580/714494/693805",36
"13","Early2nd_FL","CC","GO:0005740","mitochondrial envelope","51/631","349/9500",6.2113524999571e-08,6.3029659471516e-06,5.77080763801709e-06,"693502/702893/641333/574260/698237/698024/693780/697843/699950/100423260/698144/106997570/710845/711369/694635/693431/697950/711249/711014/100428450/698458/721259/714895/712784/100426173/715675/722400/719935/713297/713040/700629/707881/716461/706322/708065/709772/704770/696532/693782/702885/695399/699083/700814/707060/699580/705559/714494/699042/697136/721783/693805",51
"14","Early2nd_FL","CC","GO:0019866","organelle inner membrane","38/631","224/9500",6.56558952828292e-08,6.3029659471516e-06,5.77080763801709e-06,"693502/702893/641333/574260/698024/693780/697843/699950/698144/106997570/710845/711369/694635/693431/697950/711249/711014/100428450/698458/721259/714895/100426173/722400/719935/713297/713040/703575/708065/709772/700469/696532/693782/702885/695399/707060/699580/714494/693805",38
"15","Early2nd_FL","CC","GO:0031966","mitochondrial membrane","47/631","316/9500",1.21877367950727e-07,9.36018185861584e-06,8.56990334643007e-06,"693502/702893/641333/574260/698237/698024/693780/697843/699950/100423260/698144/106997570/710845/711369/694635/693431/697950/711249/711014/100428450/698458/721259/714895/712784/100426173/715675/722400/719935/713297/713040/700629/716461/708065/709772/696532/693782/702885/695399/699083/707060/699580/705559/714494/699042/697136/721783/693805",47
"16","Early2nd_FL","CC","GO:0045259","proton-transporting ATP synthase complex","7/631","18/9500",9.19790250994554e-05,0.00588665760636514,0.00538964813740668,"702893/574260/699950/698144/106997570/697950/100428450",7
"17","Early2nd_FL","CC","GO:0005753","mitochondrial proton-transporting ATP synthase complex","6/631","16/9500",0.000377434361928461,0.0207049707115042,0.0189568536667829,"702893/574260/699950/698144/697950/100428450",6
"18","Early2nd_FL","CC","GO:0070062","extracellular exosome","8/631","30/9500",0.000572771506717038,0.0274930323224178,0.0251718004267751,"713687/718166/712784/705215/613269/712262/704892/710921",8
"19","Early2nd_FL","CC","GO:0005911","cell-cell junction","24/631","182/9500",0.000944666649971957,0.0365101710693973,0.0334276237313013,"574172/713687/712601/100430727/702998/715650/715413/693297/699586/699524/720550/699854/717376/694694/699899/710072/702459/697069/707372/714647/700473/693440/711526/715463",24
"20","Early2nd_FL","CC","GO:0098800","inner mitochondrial membrane protein complex","15/631","92/9500",0.000998955305480979,0.0365101710693973,0.0334276237313013,"702893/641333/574260/699950/698144/710845/694635/693431/697950/100428450/714895/722400/713040/709772/699580",15
"21","Early2nd_FL","CC","GO:0045263","proton-transporting ATP synthase complex, coupling factor F(o)","5/631","13/9500",0.00104586427542544,0.0365101710693973,0.0334276237313013,"702893/699950/698144/106997570/697950",5
"22","Early2nd_FL","CC","GO:1903561","extracellular vesicle","8/631","34/9500",0.00140337221421751,0.0449079108549603,0.0411163438200569,"713687/718166/712784/705215/613269/712262/704892/710921",8
"23","Early2nd_FL","CC","GO:0043230","extracellular organelle","8/631","35/9500",0.00171522970756166,0.046443530369502,0.0425223112483928,"713687/718166/712784/705215/613269/712262/704892/710921",8
"24","Early2nd_FL","CC","GO:0065010","extracellular membrane-bounded organelle","8/631","35/9500",0.00171522970756166,0.046443530369502,0.0425223112483928,"713687/718166/712784/705215/613269/712262/704892/710921",8
"25","Early2nd_FL","CC","GO:0000228","nuclear chromosome","15/631","98/9500",0.00192575624211028,0.046443530369502,0.0425223112483928,"710888/708320/714686/710562/699190/710766/693426/707651/717548/718006/713271/710253/720265/707142/708845",15
"26","Early2nd_FL","CC","GO:0098798","mitochondrial protein-containing complex","22/631","170/9500",0.00193514709872925,0.046443530369502,0.0425223112483928,"702893/641333/574260/699950/100423260/698144/710845/694635/693431/697950/100428450/712367/714895/722400/713297/713040/716461/699469/709772/695196/702885/699580",22
"27","Early2nd_FL","MF","GO:0008235","metalloexopeptidase activity","9/578","30/8759",9.09069140788064e-05,0.029349414682194,0.0270529334174472,"716790/699725/715081/701327/695080/695120/718315/708881/712429",9
"28","Early2nd_FL","MF","GO:0050839","cell adhesion molecule binding","17/578","93/8759",0.000104260798160547,0.029349414682194,0.0270529334174472,"613269/700811/698204/693297/712262/700141/704930/698293/695078/714520/710072/701160/713606/708881/693440/711526/712036",17
"29","Late2nd_FL","CC","GO:0009986","cell surface","27/411","282/9500",8.68952788873795e-05,0.0260685836662138,0.024879490376176,"677680/714399/700677/717347/100428701/700475/697438/714610/707714/701419/717074/574213/714038/698315/715949/698341/698487/677855/716003/712577/698888/717228/574216/696200/698363/704351/701357",27
"30","Late2nd_FL","CC","GO:0045178","basal part of cell","13/411","95/9500",0.00021179069110482,0.0317686036657231,0.0303195094634269,"677680/708901/711407/703544/704326/694677/709353/713511/717209/702721/717411/697815/705434",13
"31","Late2nd_FL","CC","GO:0009925","basal plasma membrane","12/411","90/9500",0.000469835361403591,0.0464339423881443,0.0443159029107903,"677680/708901/711407/703544/704326/694677/713511/717209/702721/717411/697815/705434",12
