Adult_BM,Early2nd_FL,Early3rd_BM,Early3rd_FL,Late2nd_BM,Late2nd_FL
AR,TMSB10,LOC102141014,VCAN,LOC102119091,LOC102119091
JAKMIP1,RPL29,LOC102116308,HTR2A,RPS4X,JUND
ANXA1,LDHA,TSPO,CLEC10A,LOC102139757,DUSP1
RNF17,FUOM,RASD1,KCNH7,LOC102138546,LOC123568203
MAFA-F,HMGA1,CLC,CRISP3,APOD,LOC102139757
MAMDC2,CD33,NKAIN2,NKAIN2,RPL17,SRSF5
LOC102124310,RPL22L1,LOC102131338,AFF3,GSTM5,ZFP36
LOC101866788,ENO1,LOC102137173,BRINP3,RPS3A,FOS
CACNB4,NPM1,LOC102140626,KEG98_p09,RPL18,RPL38
CLIC2,CFL1,NEGR1,AHNAK,LOC107127507,SMAD9
ADAM28,GSTP1,AFF3,LOC102140501,CACNA1B,LOC102115890
ANK3,LOC102144920,VCAN,RAPGEF5,RPS14,KEG98_p09
SUCNR1,ACTB,PRSS57,LOC102117659,TPT1,LOC102134702
BHLHE23,RPL39,LOC102138668,SLC18A1,RSRP1,JUN
NEGR1,LOC102120517,PCDH9,PCDH9,RPL7,DDX5
LOC102137002,PRKAR2B,HTR2A,LORICRIN,LOC102115795,LOC102130251
A4GALT,SPINK2,LOC102123548,FGL2,LOC107130196,RPL37
SH3RF2,RPL36,FHL1,LOC102144646,LST1,RPS14
PRR16,LOC102137365,LOC102140002,MLLT3,RPS3,CD24
SQOR,MIF,LOC102131455,DNAH14,LYN,TENM4
FOS,PFN1,CXCR4,ADGRF3,ITM2C,RPL34
MED12L,LDHB,LOC102115168,TENM4,TKT,LOC107127507
MUCL1,CA8,CTSW,DSC2,LOC102136972,LOC123569142
DOCK3,SLC25A5,LOC102144646,PTPRK,NAV3,RPL13A
PLXDC2,MPO,KLRG1,DACH1,RPL6,MEGF10
DUSP1,LOC102132790,LOC107129555,TSPO,CD37,RIMS2
PRKG2,GSTM3,LOC102141414,SGMS2,VIM,LOC123575065
AIM2,MT1E,TMEM210,KEG98_r01,RPL26,KEG98_p07
LOC102126012,IGF2BP1,DNAH14,LOC123569976,RNASET2,LOC123574862
VCAN,IGFBP2,LRFN5,MARCHF1,RPS20,UBC
LOC102141626,LOC123569448,LOC107127413,SPACA7,CHST13,KEG98_p01
LOC102137046,CDCA7,LRRC26,CADM3,RPL10A,ID2
IFI44L,KCNIP1,LOC102132457,LOC102115540,ZNF503,FOSB
LOC102117257,CACNA2D1,SLC35F3,FHL1,RACK1,CHST13
BMP6,IGF2,LOC102142071,LOC102131455,RPL23A,LOC107128305
RNF157,SERF2,WNK2,LOC102116308,RPL30,LOC123572224
CACNA1B,RPS21,STK32C,SLC27A2,RPS24,IQGAP1
CLECL1,PSAT1,RPL10A,KLRG1,RPL13A,EGR1
MGLL,ATP5MC3,PRKG2,LOC102130647,PABPC1,LOC102125097
KLF9,NDUFA4,LOC102115890,MYCT1,SH3BP5,COL23A1
ANKRD28,LOC102126517,LOC102136862,LOC123575187,EEF1A1,KEG98_p11
GIPC2,RPL18A,PGGHG,FOXP2,CD48,LOC123575066
ESR1,IGLL1,ACAP1,MYO1D,LOC102124318,LOC101865759
SIGLEC12,S100A4,NRGN,NRIP1,EMP3,LOC123572290
DPYD,RPS28,FGL2,LOC102123548,S100A11,LOC102137002
IER3,RPL27,GYPC,MBNL1,NRN1,CPED1
CSMD1,ATP5F1E,ITGB3,LRFN5,ACTG1,RORA
SPTLC3,CNTNAP2,SRGN,UTRN,BNC2,ID3
CD84,ELOB,MYO1D,ITGB3,ITGB2,TEK
