HSC,MPP.1,MPP.2,MPP.3,MPP.4,MPP.5
MLLT3,MAFA-F,CDK6,VIM,ZBTB16,TUBA1B
MECOM,LOC101866788,HCST,LMNA,PKIG,TYMS
TENM4,FOS,LOC102136964,TPPP3,LOC107127987,MCM5
HLF,LOC102141626,LAT2,TSPAN2,GATA2,PCLAF
NRIP1,ANXA1,RFLNB,CRIP1,PBX1,MCM7
GLIPR1,LOC102116527,SELL,S100A10,GATA1,MCM3
RORA,B2M,LOC102116308,ANXA1,ZEB2,GINS2
LOC102136822,LOC102117143,MTSS1,CRIP2,RIPOR3,LOC102130495
HMGA2,KEG98_p13,GRID2,TAGLN2,STON2,PCNA
CD48,DUSP1,PMP22,AHNAK,SERPINA5,MCM2
LOC102124317,LOC102120132,ITM2C,TMSB10,MED12L,MCM4
TEK,CLIC2,ACTG1,PACRG,LOC102127471,TUBB
LRFN5,LOC102138874,METRNL,CD9,CLU,STMN1
CD164,LOC102140002,LOC102133263,DPYSL3,PDE3A,UNG
LRBA,AR,PAG1,CNIH2,TFR2,UHRF1
RAPGEF2,CD74,ITM2A,LOC102146338,CRACD,DTL
ST6GAL1,JAKMIP1,GYPC,S100A4,RAP1B,RMI2
INPP4B,LOC102126012,RPL19,TUBB6,GAL,DUT
IFITM1,SQOR,PRAM1,HCST,FREM1,CDC45
UST,RPL18,CORO1A,DLGAP2,PDLIM1,KLF16
PTPRM,PLAAT4,KLHL13,MPO,PTPRE,LOC123569448
ITGA4,FOSB,LSP1,S100A11,ST8SIA6,RPA3
LOC123569745,HSPB1,SASH3,TUBA1A,RGS6,CDT1
LOC101926433,RPL30,MPO,KLF2,TRPC6,SLC29A1
TACR1,SRGN,LOC102123570,S100A6,NT5M,RAD51
THRB,LOC102144039,CD74,MBOAT7,BASP1,PPIF
MDGA2,RPS4X,ENO2,CLIC1,SLC24A3,HSPA8
HDAC9,UCHL1,SERPINB1,LOC102124022,HSH2D,GAPDH
CHN2,GAL,IGLL1,ANXA2,TESC,DCTPP1
PNRC1,LOC102137002,RPL5,EMP3,CPA3,MYBL2
LORICRIN,TSPO,MBOAT7,CD44,TNFRSF14,HELLS
SUSD4,SELENOM,CD59,ZNF474,TNFSF10,MCM6
INPP5D,JUN,CD44,SH3BGRL3,ICAM4,RPA2
LYN,RPS18,AFF3,HMGN3,TENT5C,E2F1
SAMD12,LOC102136972,KLF6,TIMP1,LIMS1,MCM10
SLC8A1,TSC22D3,TIMP1,MTSS1,CELF2,CENPU
TFPI,A4GALT,ERGIC1,HACD4,BAMBI,RANBP1
MSRB3,RPL13,LOC102133757,PI16,PLAT,ASF1B
MAML2,RPS15,HLX,TSC22D3,ETV6,RRM2
TTC28,KLF2,LOC102115346,RASGRP2,ADARB2,POLE
RBPMS,RPS3,RIPOR2,RHOA,PRSS57,RAD51AP1
LOC102141792,APOE,ARHGDIB,ACOT7,SRGN,CENPX
NAV3,TMEM176B,SH3BP5,CD99,CDH12,RFC4
GAPT,ARL4C,PTGDR,BAIAP3,ANGPT2,CLSPN
ABCB1,PNRC1,SOX4,SERPINB1,ZMYND8,HMGA1
HIF3A,SOCS3,LOC102124310,VWA5B1,GRB10,CHAF1A
ADGRB3,LOC102119091,LOC102124022,CORO1A,P2RX1,FEN1
SPTBN1,RPS3A,ATF4,LOC102145785,IL1RL1,CENPT
BAZ2B,UBA52,HTR1F,PRAM1,PLXDC2,BRCA1
CYP26A1,RPL8,LOC102146338,SELL,RUNX1,MIF
LOC101866646,LSR,APEX1,CACNB2,MPIG6B,SNRPB
FLI1,NEGR1,EBF1,MYADM,ANXA4,LIG1
MEIS1,RPLP1,SH3BGRL3,CAPG,PRKG2,RAN
PREX2,EIF1,CD200,CDK6,LOC123567927,CDC6
MAP3K20,LOC123572290,NOG,CPA3,PLCB4,TEDC2
RSRP1,MICB,YPEL3,IL13RA2,AGAP1,CDK4
TRIM22,HINT1,BTF3,ITM2A,PLD1,PKMYT1
RAMP1,LOC102138668,ARHGEF18,PLEC,GREM2,CKS1B
OXR1,EEF1D,ARHGAP30,PDLIM1,LOC102142031,BRCA2
LOC102138546,FAU,ZNF503,ANXA6,IKZF2,RNASEH2A
TMEM243,RPL9,GMFG,LSP1,GSE1,TPI1
IL12RB2,RPL24,TPM4,LGALS3,NT5C3A,DSCC1
ITSN2,RPS24,BTK,LGALS1,MYB,RFC3
MEF2C,RPL35A,TCF4,CDC42,UBASH3A,CHEK1
HOPX,RPS5,SATB1,SPI1,ZNF521,BRIP1
LOC102117971,ZFP36,LOC107129497,OSTF1,PECAM1,SMC2
ARHGEF26,RPL11,RPLP0,LOC102133757,CD82,ORC1
STAB1,JUND,NACA,STING1,ESYT1,NT5DC2
DST,LOC101926276,HSPD1,CYTH4,ISG20,SPC25
EPB41L3,RPS19,HADH,LOC102123570,DPP10,LOC101866756
LY75,BMP6,LOC102118733,TUBB2A,PTGS1,DNMT1
EVI2B,MAMDC2,P2RY8,PPP1R18,ARHGEF6,LMNB1
CNTNAP2,RPS11,BCL11A,FUOM,TINAGL1,SNRPD1
MMRN1,PFDN5,TRAF3IP3,ADGRE2,TET2,HMGN2
CLNK,RPS16,MED13L,DNALI1,NFE2,DHFR
VIM,RPL19,RPLP1,DRC1,LHFPL2,RRM1
FOXP1,LOC102136862,KCNE3,CDKN2D,NFKBIZ,SLC25A5
ADGRG6,NACA,DLGAP2,S1PR4,PHACTR1,PRIM1
CLCN3,PRKG2,RPL18,RFX2,NALF1,LKAAEAR1
BANK1,CLU,RPL14,MYO1G,IL1B,POLD2
MCTP1,UBC,LAG3,ADGRE5,SLA,ZGRF1
NLRP1,ADAM28,EIF3L,SFXN3,SPCS1,POLA2
LOC102124284,SMDT1,ASIC2,PARVB,TSPAN32,ORC6
MBNL1,CACNB4,RCSD1,CLEC3B,FAM117A,WDHD1
VAV3,RPL10A,RHOH,GNAI2,SH3BGRL,DIAPH3
CHST13,RPS6,ARRB2,LIMD2,MS4A2,TXN
CD53,LOC101865130,GNA15,TPM4,PCNX1,ALYREF
AIF1,KLF6,SYNDIG1,CD63,HNRNPA1,TMSB15A
PTPRC,LOC102144646,FLT3,GNAS,LOC102123323,TRIP13
TTC13,RPS10,LOC102137002,EFHD2,TAL1,TUBB4B
GUCY1A1,MOCOS,LOC102134485,ZNF567,ADGRG1,DEK
KCNC2,PLBD1,DUSP6,ZSCAN18,GFI1B,TMSB15B
AFDN,RPL34,LOC102138874,SRI,GPR141,CENPW
CAMK2D,SH3RF2,GNG11,PPIA,EDIL3,HSP90AA1
USP15,RPS8,CD34,LOC102125302,THSD7A,HILPDA
IL6ST,SYPL1,LOC101926276,BTK,PGAP1,LOC102127264
TOX,RPS14,ARL4C,HSH2D,SOD2,GMNN
LOC123569488,PTGS1,RPS19,GAS7,CNST,DSN1
CALCOCO2,ITM2B,ELF1,RGS6,TRAPPC9,MSH6
DGKG,NRN1,CCNI,C15H9orf24,VWF,KNTC1
