,gene,pval,qval,log2fc,mean,zero_mean,grad,coef_mle,coef_sd,ll
26,PTPRM,0.0,0.0,1.0807554024990613,0.18065306837643838,False,0.03614076731143081,-1.0807554024990613,0.021026326429403743,-265.7405049744647
27,RORA,0.0,0.0,1.0752347398288105,0.34037651967353155,False,0.002082048916118067,-1.0752347398288105,0.015314536310313908,-34332.89326596657
32,TEK,0.0,0.0,1.010209883670576,0.2601025541263772,False,0.011855909650383295,-1.010209883670576,0.017480448399339623,-3407.093083293573
42,CNTNAP2,0.0,0.0,0.9695073429905529,0.22999563233026002,False,1.3885942563545669e-09,-0.9695073429905529,0.021037089530336107,-28849.722036040355
48,UST,0.0,0.0,0.9288831956195105,0.24413407361381267,False,0.2634662099079699,-0.9288831956195105,0.01802004967489196,-11350.323938759908
55,HLF,0.0,0.0,0.9097311799371733,0.5900417427392611,False,0.0557599738224591,-0.9097311799371733,0.01159051128094959,-1644.39527222296
56,NAV3,0.0,0.0,0.8918472157549899,0.222020206849489,False,0.12847602979126926,-0.8918472157549899,0.01889553457716806,-5459.503219499405
57,LOC102136822,0.0,0.0,0.8883852821320324,0.4307541315830144,False,0.031133690310571168,-0.8883852821320324,0.013565847825371811,-37175.79169083354
60,CHN2,0.0,0.0,0.8776674771095365,0.2288452551148889,False,0.18474549669885992,-0.8776674771095365,0.018613080463445234,-6900.733608881743
61,TENM4,0.0,0.0,0.8760956810261826,0.9180683857539986,False,0.5336480678960382,-0.8760956810261826,0.009293018089026177,-12170.305493050513
65,SLC8A1,0.0,0.0,0.8644282042983636,0.24773850669066017,False,0.06020510444541962,-0.8644282042983636,0.017891373887748526,-24150.728389369677
81,LRFN5,0.0,0.0,0.800842956478253,0.4498501507408839,False,0.39985536225567636,-0.800842956478253,0.0132928326400867,-8246.088993281346
85,ABCB1,0.0,0.0,0.7775316976309775,0.24685243183380665,False,0.10135293957558245,-0.7775316976309775,0.01795683692517736,-5457.323890427268
100,LOC102117971,0.0,0.0,0.7228390597078455,0.27096164569923387,False,0.26262694945928455,-0.7228390597078455,0.017176001894383747,-7319.448555416128
101,MDGA2,0.0,0.0,0.7199642582542894,0.4128726395871134,False,0.0008688165064181253,-0.7199642582542894,0.01391635853185271,-39183.872062383045
104,SAMD12,0.0,0.0,0.7155381882683927,0.32063356357010997,False,0.16553826616715736,-0.7155381882683927,0.01579500253005588,-4805.080318183239
119,CLNK,0.0,0.0,0.6800373097426959,0.22809812905171245,False,0.047390490901340954,-0.6800373097426959,0.018761416565251328,-3437.236886347394
122,SERPING1,0.0,0.0,0.6702678064131822,0.1787190681751098,False,0.00022249162645534564,-0.6702678064131822,0.021207308413188925,-23172.922136521713
