names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
TENM4,128.55177,2.7956855,0.0,0.0,0.8533443548942619,0.42516364034727355
HLF,126.148415,2.4267235,0.0,0.0,0.7974099331817869,0.32896502615506806
MLLT3,125.67061,1.6083107,0.0,0.0,0.9869118963973272,0.8670062717388327
MECOM,114.881165,1.8279433,0.0,0.0,0.9291864710339602,0.6689398296497138
GLIPR1,112.60329,1.5398432,0.0,0.0,0.9510918233794862,0.7933886560950895
CD48,107.47278,1.5333719,0.0,0.0,0.9281531996969071,0.7951825377262892
RORA,104.86686,2.4678726,0.0,0.0,0.5744988634015292,0.1959712978939008
LOC102136822,103.61693,2.2342663,0.0,0.0,0.6369773369153406,0.248582696573823
NRIP1,103.42204,1.3427635,0.0,0.0,0.9698284769580492,0.8599539889902227
IFITM1,102.39815,1.7586713,0.0,0.0,0.8744919749259489,0.5527894174677512
LRFN5,100.65994,2.2014542,0.0,0.0,0.6338086381483777,0.2561964231917399
PNRC1,92.98735,1.1456419,0.0,0.0,0.9474409313218984,0.8584202886643113
HMGA2,91.7234,1.1169914,0.0,0.0,0.9451677343803816,0.8110535973488895
LRBA,91.018326,1.1041533,0.0,0.0,0.9821588482468829,0.8909292580724674
HOPX,88.88768,1.2750951,0.0,0.0,0.9069366949094165,0.6944375975679895
SUSD4,88.402374,1.2960368,0.0,0.0,0.8667768822759523,0.6220935009448689
TEK,87.84431,2.0650775,0.0,0.0,0.5119515051319143,0.20348916824144825
CD164,87.68788,0.86767375,0.0,0.0,0.9829854653165254,0.9420617314381179
INPP5D,86.01246,1.0947356,0.0,0.0,0.9355927533236895,0.8032481581902337
ADGRB3,85.76705,1.3730463,0.0,0.0,0.9246400771509266,0.7009421302002027
RAPGEF2,84.65339,1.2171202,0.0,0.0,0.9149962113384308,0.7697532385725632
ST6GAL1,84.403496,1.5698161,0.0,0.0,0.6951849555693325,0.4084435680442582
UST,83.075386,2.0281713,0.0,0.0,0.4658676034993456,0.1743077807904034
RBPMS,81.73178,0.84573907,0.0,0.0,0.9647310050285872,0.8828362501027032
